file_path,label,script,x,y
oracle_selected_glyphs\人\0047cdcc-85ec-435b-aaa9-85380d9c2461.png,人,oracle,8.93882,-15.949133
oracle_selected_glyphs\人\9ff4efd3-911b-450b-b469-a7daf292a2b4.png,人,oracle,-5.8169885,11.136432
oracle_selected_glyphs\人\c374c1c8-8209-4c56-af5c-b28d95cc44a2.png,人,oracle,-8.510498,6.9158473
oracle_selected_glyphs\人\d21b793a-bda9-42d2-97a5-70df7a595265.png,人,oracle,1.9864062,-12.929259
oracle_selected_glyphs\人\e62e1da9-f384-40bb-8ec7-d794f162ff9a.png,人,oracle,2.6003315,-17.803207
oracle_selected_glyphs\卜\30f65d7b-2981-4f7a-a395-ce89ed118f2c.png,卜,oracle,-24.018103,-10.04654
oracle_selected_glyphs\卜\7a9a729b-ba7b-4804-a863-4699eda23738.png,卜,oracle,-4.70738,25.789305
oracle_selected_glyphs\卜\8345a65f-1149-46f8-a234-b518b08d1e99.png,卜,oracle,-23.245207,-6.6482096
oracle_selected_glyphs\卜\fc640a50-137c-497f-968f-4d5a69ef90a0.png,卜,oracle,-21.408222,-13.500472
oracle_selected_glyphs\占\30de8d66-f89b-4edb-98cd-90f671e92c4d.png,占,oracle,-16.085327,31.26101
oracle_selected_glyphs\占\6dcea256-92fe-4448-812b-af0c1660aa76.png,占,oracle,-19.834444,31.07306
oracle_selected_glyphs\占\a80da40e-f906-4dca-857f-21df762ca32b.png,占,oracle,-20.880108,27.156075
oracle_selected_glyphs\占\d5a8cc8c-8a8c-4d96-8fbb-e5106343a075.png,占,oracle,21.534685,-22.561132
oracle_selected_glyphs\史\10b0e7f3-5d3d-4f1a-bace-66338d49a27c.png,史,oracle,-7.0619664,-33.08111
oracle_selected_glyphs\史\379535e1-7525-4429-8457-bd35e030f6a9.png,史,oracle,6.68967,-37.49724
oracle_selected_glyphs\史\60961822-ee65-44b0-955a-2a4f234dc342.png,史,oracle,-0.4209781,1.2195628
oracle_selected_glyphs\史\a54b5cb2-d24b-4bd9-868b-2be5dbf89efb.png,史,oracle,-5.887749,17.791101
oracle_selected_glyphs\史\e353456a-d6d6-441d-b140-1a4cbdf8ed14.png,史,oracle,-7.6724286,-29.459957
oracle_selected_glyphs\巫\817b9b1a-0165-4295-84bb-7818c0774df4.png,巫,oracle,-13.654575,4.953172
oracle_selected_glyphs\巫\bb38e544-358a-474b-9435-bd1a17a043e4.png,巫,oracle,8.164602,3.2297325
oracle_selected_glyphs\巫\d8deb3e6-bf50-4abb-b158-0fd12c2083b3.png,巫,oracle,27.4109,4.906997
oracle_selected_glyphs\巫\ecd47a9a-0b1a-4171-899b-21b0cd287a16.png,巫,oracle,25.496965,-9.081322
oracle_selected_glyphs\巫\fd4df6ab-7781-4851-acdb-3f4325d7ba15.png,巫,oracle,0.76682544,12.6668
oracle_selected_glyphs\帝\2cba12d2-e9b8-4126-9b12-8e6afe664055.png,帝,oracle,9.332751,22.788054
oracle_selected_glyphs\帝\5b69b845-cb54-4299-933d-46765e2d98f4.png,帝,oracle,7.291029,27.133066
oracle_selected_glyphs\帝\8b79dd8d-1af4-4544-8c9b-4bb710940fb4.png,帝,oracle,12.706798,20.019806
oracle_selected_glyphs\帝\cb808e93-07eb-4ea3-ba31-0646d27a3733.png,帝,oracle,14.97739,23.428736
oracle_selected_glyphs\帝\ccdf330e-0d78-4b67-b745-9294fe349888.png,帝,oracle,12.538447,27.505156
oracle_selected_glyphs\日\07dff7ee-efc3-4a6f-ab53-1b398f2e66b3.png,日,oracle,-33.790924,8.0261965
oracle_selected_glyphs\日\5fd99880-3f5c-4084-8df1-0650f8132497.png,日,oracle,-29.902979,11.04949
oracle_selected_glyphs\日\8d7d53ef-edf7-4d63-9bf4-6e73c73a20bd.png,日,oracle,-30.127905,23.908903
oracle_selected_glyphs\日\cc967aab-53f6-46a6-aa9d-eb324665f3a5.png,日,oracle,0.99729943,20.054058
oracle_selected_glyphs\星\330bb940-e0cf-4fbb-9647-810756bed959.png,星,oracle,25.657246,-24.442701
oracle_selected_glyphs\星\835995df-8635-47b7-8ad7-3ce6d59c9aeb.png,星,oracle,-13.128338,20.983994
oracle_selected_glyphs\星\84a509c0-0286-4da6-9694-7e1dbfcf06d3.png,星,oracle,22.999304,18.491001
oracle_selected_glyphs\星\db707311-1a5f-48a0-9a9e-ee0b020dbd5e.png,星,oracle,-11.5209055,12.181948
oracle_selected_glyphs\星\de9afb2e-729d-4898-805c-918174cdb1d7.png,星,oracle,-15.112061,13.390355
oracle_selected_glyphs\星\e021e530-ba7a-449f-8ba3-b64f61bfd9fb.png,星,oracle,26.03436,11.642806
oracle_selected_glyphs\月\065e915d-5083-4292-8161-89080abff378.png,月,oracle,-15.335138,-0.963785
oracle_selected_glyphs\月\3519cb82-cefe-46aa-bcd1-b6b7673ccbba.png,月,oracle,-3.004463,-7.1839604
oracle_selected_glyphs\月\6097b10a-83c8-4ea2-89df-5ff8c76093bd.png,月,oracle,-6.4609027,3.4180412
oracle_selected_glyphs\月\98f78dab-ba75-462a-a537-6330a685f14d.png,月,oracle,-13.601596,-6.875544
oracle_selected_glyphs\月\a364f38d-bfe9-47ab-9e63-b875e77a44a7.png,月,oracle,-8.626936,-0.51461834
oracle_selected_glyphs\月\a9605940-e99c-44ea-80e0-ff9ef55f924b.png,月,oracle,-8.394459,-8.545133
oracle_selected_glyphs\示\9e7b7a0e-4319-4557-b140-b8c5a0223ac0.png,示,oracle,-24.61547,8.447984
oracle_selected_glyphs\祀\1d78e5b6-facf-46f9-ae97-e08ef2f4636f.png,祀,oracle,19.748507,-7.6172247
oracle_selected_glyphs\祀\30a0590c-e498-4954-9f1e-17a80fe80c97.png,祀,oracle,16.23751,-3.435799
oracle_selected_glyphs\祀\38177691-c2ce-487c-8445-7c4aa53d5679.png,祀,oracle,10.13637,-1.7626749
oracle_selected_glyphs\祀\7b0df45d-02b4-4a77-a8ba-dec55638d5e6.png,祀,oracle,6.9062595,-5.864644
oracle_selected_glyphs\祀\a4e644ce-60c6-4272-8a00-e1d553703df8.png,祀,oracle,3.5376446,-3.3976278
oracle_selected_glyphs\祀\c9e0b16c-58dd-4243-8e0b-93ea54612dff.png,祀,oracle,11.270767,-7.6832085
oracle_selected_glyphs\祖\0cbd3b66-7c19-41cd-a501-c35a18294171.png,祖,oracle,-21.125307,6.2609158
oracle_selected_glyphs\祖\0f5cc082-9ee6-47b6-9b5c-28d482296d2e.png,祖,oracle,19.693956,5.7926493
oracle_selected_glyphs\祖\5e67ba31-210f-4c10-b327-1f6f944a3e40.png,祖,oracle,14.180587,-29.385479
oracle_selected_glyphs\祖\e895486f-a615-4cc1-a91d-c4ae65b545c9.png,祖,oracle,18.922672,9.842225
oracle_selected_glyphs\祝\04dcd778-b421-4ad0-a0b1-b9c70ce505ff.png,祝,oracle,20.518774,-11.892413
oracle_selected_glyphs\祝\2008ab9d-ac1e-4a53-84c3-19494931b76d.png,祝,oracle,10.411474,-26.972733
oracle_selected_glyphs\祝\2542fc0f-291b-4e8d-82d5-e8978c060110.png,祝,oracle,13.827117,-20.550135
oracle_selected_glyphs\祝\3fa2214a-cfa3-4807-b1d2-c5a61842e1a5.png,祝,oracle,15.811965,-14.923549
oracle_selected_glyphs\祝\bc59a1a4-bba0-45c2-82e6-a968b3b3c542.png,祝,oracle,3.6082237,-27.30235
oracle_selected_glyphs\祭\036bc5c9-9fe7-4866-9d56-258d0d30238a.png,祭,oracle,24.103092,-16.389107
oracle_selected_glyphs\祭\2f110916-d290-4c9a-871a-38ff47a7fc86.png,祭,oracle,2.943924,6.8933625
oracle_selected_glyphs\祭\320f8abb-e273-49f9-96ba-ec07292e3342.png,祭,oracle,8.782542,10.9462385
oracle_selected_glyphs\祭\3fdede31-64ab-4c9e-870c-dab09cd7c958.png,祭,oracle,28.283636,-16.61184
oracle_selected_glyphs\祭\9509c971-2c8a-4871-9f7f-0bc08875243f.png,祭,oracle,25.301846,-4.3551955
oracle_selected_glyphs\祭\cc44a6d2-31fb-45f6-aec1-7f822728e325.png,祭,oracle,18.95775,-17.952082
oracle_selected_glyphs\鬼\0916962e-918a-4397-8a4a-a749e000ea46.png,鬼,oracle,-10.037607,-20.981392
oracle_selected_glyphs\鬼\3665bb8c-91ef-450a-98da-cd699480b888.png,鬼,oracle,-2.3013263,7.2457786
oracle_selected_glyphs\鬼\65d739b1-26bf-47d6-8b49-b010bf1b78a2.png,鬼,oracle,-3.9042542,-17.521702
oracle_selected_glyphs\鬼\b9c46220-d7a7-4281-b7ea-a9290e63ea0f.png,鬼,oracle,27.181578,-0.2939677
oracle_selected_glyphs\鬼\c6f138c7-3158-4346-b723-51375106f92f.png,鬼,oracle,-10.766468,-16.713438
oracle_selected_glyphs\鬼\e9f88fff-4db0-4740-bf5d-59ee7bdef87e.png,鬼,oracle,-5.0648017,-22.756592
