file_path,label,script,x,y
oracle_selected_glyphs\人\0047cdcc-85ec-435b-aaa9-85380d9c2461.png,人,oracle,2.1404102,11.839956
oracle_selected_glyphs\人\9ff4efd3-911b-450b-b469-a7daf292a2b4.png,人,oracle,1.2606708,9.59892
oracle_selected_glyphs\人\c374c1c8-8209-4c56-af5c-b28d95cc44a2.png,人,oracle,2.0264783,9.858315
oracle_selected_glyphs\人\d21b793a-bda9-42d2-97a5-70df7a595265.png,人,oracle,1.2697619,10.925793
oracle_selected_glyphs\人\e62e1da9-f384-40bb-8ec7-d794f162ff9a.png,人,oracle,0.8684329,11.062949
oracle_selected_glyphs\卜\30f65d7b-2981-4f7a-a395-ce89ed118f2c.png,卜,oracle,2.5454195,10.650375
oracle_selected_glyphs\卜\7a9a729b-ba7b-4804-a863-4699eda23738.png,卜,oracle,0.29161814,9.265393
oracle_selected_glyphs\卜\8345a65f-1149-46f8-a234-b518b08d1e99.png,卜,oracle,2.7110195,10.114275
oracle_selected_glyphs\卜\fc640a50-137c-497f-968f-4d5a69ef90a0.png,卜,oracle,2.5193985,11.016371
oracle_selected_glyphs\占\30de8d66-f89b-4edb-98cd-90f671e92c4d.png,占,oracle,0.756276,10.02318
oracle_selected_glyphs\占\6dcea256-92fe-4448-812b-af0c1660aa76.png,占,oracle,0.67449874,10.21664
oracle_selected_glyphs\占\a80da40e-f906-4dca-857f-21df762ca32b.png,占,oracle,0.74311244,10.476009
oracle_selected_glyphs\占\d5a8cc8c-8a8c-4d96-8fbb-e5106343a075.png,占,oracle,2.0957465,12.2850895
oracle_selected_glyphs\史\10b0e7f3-5d3d-4f1a-bace-66338d49a27c.png,史,oracle,-0.4400953,9.857259
oracle_selected_glyphs\史\379535e1-7525-4429-8457-bd35e030f6a9.png,史,oracle,3.4023287,10.710748
oracle_selected_glyphs\史\60961822-ee65-44b0-955a-2a4f234dc342.png,史,oracle,2.0810378,9.523755
oracle_selected_glyphs\史\a54b5cb2-d24b-4bd9-868b-2be5dbf89efb.png,史,oracle,0.49616662,9.516441
oracle_selected_glyphs\史\e353456a-d6d6-441d-b140-1a4cbdf8ed14.png,史,oracle,-0.26599044,9.659924
oracle_selected_glyphs\巫\817b9b1a-0165-4295-84bb-7818c0774df4.png,巫,oracle,2.5088644,9.872697
oracle_selected_glyphs\巫\bb38e544-358a-474b-9435-bd1a17a043e4.png,巫,oracle,3.3610287,10.584668
oracle_selected_glyphs\巫\d8deb3e6-bf50-4abb-b158-0fd12c2083b3.png,巫,oracle,1.4400797,13.144022
oracle_selected_glyphs\巫\ecd47a9a-0b1a-4171-899b-21b0cd287a16.png,巫,oracle,2.5633628,12.471514
