file,label,umap_x,umap_y,tsne_x,tsne_y
oracle_selected_glyphs\人\1.png,人,2.1404102,11.839956,1.8865770497153234,-0.22514778913399905
oracle_selected_glyphs\人\2.png,人,1.2606708,9.59892,-2.0626678918009893,0.6707839450290947
oracle_selected_glyphs\人\3.png,人,2.0264783,9.858315,-1.5063646999254166,1.8843446785896554
oracle_selected_glyphs\人\4.png,人,1.2697619,10.925793,0.37013320141487127,-0.26581769128426896
oracle_selected_glyphs\人\5.png,人,0.8684329,11.062949,0.5227361227522709,-0.8644338576448256
oracle_selected_glyphs\卜\1.png,卜,2.5454195,10.650375,0.5570500392857539,2.7277933295541086
oracle_selected_glyphs\卜\2.png,卜,0.29161814,9.265393,-2.877098061825312,-4.005387559286039
oracle_selected_glyphs\卜\3.png,卜,2.7110195,10.114275,0.3824105324735465,2.7638401990379196
oracle_selected_glyphs\卜\4.png,卜,2.5193985,11.016371,0.8652239203497462,2.684884089463974
oracle_selected_glyphs\占\1.png,占,0.756276,10.02318,-5.1402255477486385,0.39352463691146067
oracle_selected_glyphs\占\2.png,占,0.67449874,10.21664,-5.160406541368582,0.24341753162399302
oracle_selected_glyphs\占\3.png,占,0.74311244,10.476009,-4.887685870850138,0.05010724954778707
oracle_selected_glyphs\占\4.png,占,2.0957465,12.2850895,3.052360436330158,-0.2456023326305508
oracle_selected_glyphs\史\1.png,史,-0.4400953,9.857259,-1.272227761506931,-3.8403662653611845
oracle_selected_glyphs\史\2.png,史,3.4023287,10.710748,2.591482876407513,3.6621216825331273
oracle_selected_glyphs\史\3.png,史,2.0810378,9.523755,0.047565119256850835,0.9649545154251956
oracle_selected_glyphs\史\4.png,史,0.49616662,9.516441,-1.7979865497619727,-0.8663067300019458
oracle_selected_glyphs\史\5.png,史,-0.26599044,9.659924,-1.4392941953958045,-3.5499967419961673
oracle_selected_glyphs\巫\1.png,巫,2.5088644,9.872697,-0.4886370891030037,2.349637299254371
oracle_selected_glyphs\巫\2.png,巫,3.3610287,10.584668,2.1852986430512202,2.997782855256646
oracle_selected_glyphs\巫\3.png,巫,1.4400797,13.144022,1.631377813926861,-1.90450570355794
oracle_selected_glyphs\巫\4.png,巫,2.5633628,12.471514,3.231885829127673,-0.7371765786284693
oracle_selected_glyphs\巫\5.png,巫,1.8961833,9.208315,-1.8765745112438226,1.426591309609366
oracle_selected_glyphs\帝\1.png,帝,-0.2315892,11.089625,-2.913866692230662,-1.6330248897271498
oracle_selected_glyphs\帝\2.png,帝,-0.5542967,11.200438,-3.1268560408329438,-1.8639552817207583
oracle_selected_glyphs\帝\3.png,帝,0.015766013,11.208571,-2.559301004349557,-1.9522612518597984
oracle_selected_glyphs\帝\4.png,帝,-0.20681305,11.531763,-2.7625263125879496,-2.113514744804075
oracle_selected_glyphs\帝\5.png,帝,-0.4617384,11.083771,-3.4141941401870537,-1.9008709543621714
oracle_selected_glyphs\日\1.png,日,1.3037947,10.092717,-4.2559915744070995,3.529844943753965
oracle_selected_glyphs\日\2.png,日,1.3793049,10.427255,-3.896964791758224,3.634668441079417
oracle_selected_glyphs\日\3.png,日,1.3671951,11.847026,5.334303396955334,-2.924795682492629
oracle_selected_glyphs\日\4.png,日,1.6200228,10.02827,-3.6394827628450024,2.1938508661836345
oracle_selected_glyphs\星\1.png,星,1.5876088,12.2709465,2.6613074504440504,-0.25105106987529785
oracle_selected_glyphs\星\2.png,星,1.1168765,9.164292,-3.5820206746822074,0.9041493950974706
oracle_selected_glyphs\星\3.png,星,0.39164975,11.949967,0.22619892090302177,-4.274511268416845
oracle_selected_glyphs\星\4.png,星,1.6390578,9.311897,-2.2215261844293885,0.24738753920867973
oracle_selected_glyphs\星\5.png,星,1.5200151,9.401593,-2.665899702672071,-0.04584441800009117
oracle_selected_glyphs\星\6.png,星,0.64518726,11.67097,-0.7992392008876265,-0.10515746153527467
oracle_selected_glyphs\月\1.png,月,2.2550876,10.283883,-0.7536772430599694,3.877062309166127
oracle_selected_glyphs\月\2.png,月,2.3565137,11.510299,1.732522490901111,0.8593252662890227
oracle_selected_glyphs\月\3.png,月,1.8716531,10.306232,-1.9535949910240091,1.9230612987748632
oracle_selected_glyphs\月\4.png,月,2.0140522,10.926345,-1.1322872742667056,4.78241109146287
oracle_selected_glyphs\月\5.png,月,1.6789285,10.198912,-2.7046514733031155,2.0310904857343965
oracle_selected_glyphs\月\6.png,月,2.3203251,11.253086,-0.1603449906019978,4.806412925115156
oracle_selected_glyphs\示\1.png,示,1.5669454,10.702774,-2.7669777872579115,3.2968684003311655
oracle_selected_glyphs\祀\1.png,祀,2.8960774,12.383638,4.005580443946476,0.2801233158974385
oracle_selected_glyphs\祀\2.png,祀,3.1796374,11.890299,3.755805908758414,1.2878421843082957
oracle_selected_glyphs\祀\3.png,祀,3.3218427,11.2751665,2.1803007464084954,1.836832573619301
oracle_selected_glyphs\祀\4.png,祀,3.1792805,11.494723,2.548070783752929,1.4132119794323357
oracle_selected_glyphs\祀\5.png,祀,2.883669,10.8077345,0.8165975185689284,0.819680605541266
