file,label,gardiner_code,index,script,umap_x,umap_y,tsne_x,tsne_y
oracle_selected_glyphs\人\1.png,人,NA,1,oracle,4.036993,12.258224,-13.207011676041153,-3.7077014564139543
oracle_selected_glyphs\人\2.png,人,NA,2,oracle,4.6428213,10.307697,-4.5596728111339795,-0.6252816299093368
oracle_selected_glyphs\人\3.png,人,NA,3,oracle,4.8157325,10.0397,-4.462830304081618,-2.383243845573013
oracle_selected_glyphs\人\4.png,人,NA,4,oracle,4.1857414,11.633833,-10.08413931143558,-2.6835485185711154
oracle_selected_glyphs\人\5.png,人,NA,5,oracle,4.1687717,11.770543,-10.496763817419447,-2.839889524834874
oracle_selected_glyphs\卜\1.png,卜,NA,1,oracle,3.9974537,9.445249,-7.457134322742018,-6.454254423570724
oracle_selected_glyphs\卜\2.png,卜,NA,2,oracle,4.9451933,10.650992,-7.214680687452818,-0.6856358916227013
oracle_selected_glyphs\卜\3.png,卜,NA,3,oracle,4.392814,9.439971,-7.144286496586853,-6.378640725931084
oracle_selected_glyphs\卜\4.png,卜,NA,4,oracle,4.040486,11.771586,-8.449650855432651,-6.3700471456599015
oracle_selected_glyphs\占\1.png,占,NA,1,oracle,3.9037886,10.142461,-6.5246656996211065,5.297803694884814
oracle_selected_glyphs\占\2.png,占,NA,2,oracle,3.9677498,9.979578,-6.728182524473687,5.254237576622607
oracle_selected_glyphs\占\3.png,占,NA,3,oracle,3.8662872,10.404811,-7.059444541762278,5.074835163030914
oracle_selected_glyphs\占\4.png,占,NA,4,oracle,4.0547013,12.461598,-14.280237060667602,-2.943145033757189
oracle_selected_glyphs\史\1.png,史,NA,1,oracle,3.6691344,11.527413,-11.721225418122325,-7.287702435054169
oracle_selected_glyphs\史\2.png,史,NA,2,oracle,4.8038263,11.168166,-8.635091709436562,-4.565540797183811
oracle_selected_glyphs\史\3.png,史,NA,3,oracle,4.6128845,10.417096,-5.719018749030206,-1.6508441474103122
