file,label,gardiner_code,index,script,umap_x,umap_y,tsne_x,tsne_y
oracle_selected_glyphs\人\1.png,人,NA,1,oracle,13.724682,1.5003947,13.015950958978301,-2.239737037969422
oracle_selected_glyphs\人\2.png,人,NA,2,oracle,12.26413,0.095026836,2.9789051385645386,-2.664021644414911
oracle_selected_glyphs\人\3.png,人,NA,3,oracle,12.447246,-0.17697081,3.292232985437146,-3.2237310507429804
oracle_selected_glyphs\人\4.png,人,NA,4,oracle,13.563583,1.276123,12.839872698606175,-2.156960440278631
oracle_selected_glyphs\人\5.png,人,NA,5,oracle,12.212607,-0.3749277,3.3139098333624517,-5.613107090764371
oracle_selected_glyphs\卜\1.png,卜,NA,1,oracle,12.680012,-0.3773146,4.51222829460868,-2.320923592523045
oracle_selected_glyphs\卜\2.png,卜,NA,2,oracle,12.69748,-0.3854242,3.770245557746892,-2.2308589404874333
oracle_selected_glyphs\卜\3.png,卜,NA,3,oracle,12.64651,-0.538494,4.634406441317772,-2.3474924098692265
oracle_selected_glyphs\卜\4.png,卜,NA,4,oracle,12.763955,-0.4566359,3.623294764582151,-1.4469992498435953
oracle_selected_glyphs\占\1.png,占,NA,1,oracle,10.620116,0.61425835,6.3704750382449635,6.861850648506106
oracle_selected_glyphs\占\2.png,占,NA,2,oracle,10.802162,0.5371239,6.359543923632145,6.882341189219092
oracle_selected_glyphs\占\3.png,占,NA,3,oracle,10.83194,0.6359889,6.386043771560137,6.868629659528535
oracle_selected_glyphs\占\4.png,占,NA,4,oracle,13.765886,1.8771966,12.960557825712668,0.007515177028279954
oracle_selected_glyphs\史\1.png,史,NA,1,oracle,14.025497,2.293999,13.376320175479378,1.1592685531393063
oracle_selected_glyphs\史\2.png,史,NA,2,oracle,11.059615,-0.8012914,-0.9062158720907405,-1.8378116536754279
oracle_selected_glyphs\史\3.png,史,NA,3,oracle,12.459137,0.45252442,7.5138836912201175,-1.968581994249443
oracle_selected_glyphs\史\4.png,史,NA,4,oracle,11.768948,0.94832337,4.333692943851923,0.6003958315565349
oracle_selected_glyphs\史\5.png,史,NA,5,oracle,13.348101,1.6646634,11.888641372333334,0.6356658557878836
oracle_selected_glyphs\巫\1.png,巫,NA,1,oracle,11.904456,-0.09143668,6.34064885003089,-1.8291676970056292
oracle_selected_glyphs\巫\2.png,巫,NA,2,oracle,11.440976,-1.5847973,1.1028522164232706,1.3986467167134764
oracle_selected_glyphs\巫\3.png,巫,NA,3,oracle,12.796234,1.6041923,9.460054961639186,0.4551261120922021
oracle_selected_glyphs\巫\4.png,巫,NA,4,oracle,13.952014,2.2199771,13.296121334547937,0.717997367076351
oracle_selected_glyphs\巫\5.png,巫,NA,5,oracle,11.3555,-1.6534144,0.5270840110481682,0.9885828535309316
oracle_selected_glyphs\帝\1.png,帝,NA,1,oracle,13.555839,1.8797845,12.012557204282436,-0.9078808797497111
oracle_selected_glyphs\帝\2.png,帝,NA,2,oracle,13.442329,1.891901,11.895742748367969,-0.6312836423798637
oracle_selected_glyphs\帝\3.png,帝,NA,3,oracle,13.229798,1.8612913,10.958651724626515,-0.5789546821529166
oracle_selected_glyphs\帝\4.png,帝,NA,4,oracle,13.262757,1.8345261,11.035045902450204,-0.4462063230672452
