file,label,gardiner_code,index,script,umap_x,umap_y
oracle_selected_glyphs\人\1.png,人,NA,1,oracle,13.724682,1.5003947
oracle_selected_glyphs\人\2.png,人,NA,2,oracle,12.26413,0.095026836
oracle_selected_glyphs\人\3.png,人,NA,3,oracle,12.447246,-0.17697081
oracle_selected_glyphs\人\4.png,人,NA,4,oracle,13.563583,1.276123
oracle_selected_glyphs\人\5.png,人,NA,5,oracle,12.212607,-0.3749277
oracle_selected_glyphs\卜\1.png,卜,NA,1,oracle,12.680012,-0.3773146
oracle_selected_glyphs\卜\2.png,卜,NA,2,oracle,12.69748,-0.3854242
oracle_selected_glyphs\卜\3.png,卜,NA,3,oracle,12.64651,-0.538494
oracle_selected_glyphs\卜\4.png,卜,NA,4,oracle,12.763955,-0.4566359
oracle_selected_glyphs\占\1.png,占,NA,1,oracle,10.620116,0.61425835
oracle_selected_glyphs\占\2.png,占,NA,2,oracle,10.802162,0.5371239
oracle_selected_glyphs\占\3.png,占,NA,3,oracle,10.83194,0.6359889
oracle_selected_glyphs\占\4.png,占,NA,4,oracle,13.765886,1.8771966
oracle_selected_glyphs\史\1.png,史,NA,1,oracle,14.025497,2.293999
oracle_selected_glyphs\史\2.png,史,NA,2,oracle,11.059615,-0.8012914
oracle_selected_glyphs\史\3.png,史,NA,3,oracle,12.459137,0.45252442
oracle_selected_glyphs\史\4.png,史,NA,4,oracle,11.768948,0.94832337
oracle_selected_glyphs\史\5.png,史,NA,5,oracle,13.348101,1.6646634
oracle_selected_glyphs\巫\1.png,巫,NA,1,oracle,11.904456,-0.09143668
oracle_selected_glyphs\巫\2.png,巫,NA,2,oracle,11.440976,-1.5847973
oracle_selected_glyphs\巫\3.png,巫,NA,3,oracle,12.796234,1.6041923
oracle_selected_glyphs\巫\4.png,巫,NA,4,oracle,13.952014,2.2199771
oracle_selected_glyphs\巫\5.png,巫,NA,5,oracle,11.3555,-1.6534144
oracle_selected_glyphs\帝\1.png,帝,NA,1,oracle,13.555839,1.8797845
oracle_selected_glyphs\帝\2.png,帝,NA,2,oracle,13.442329,1.891901
oracle_selected_glyphs\帝\3.png,帝,NA,3,oracle,13.229798,1.8612913
oracle_selected_glyphs\帝\4.png,帝,NA,4,oracle,13.262757,1.8345261
oracle_selected_glyphs\帝\5.png,帝,NA,5,oracle,13.209948,1.9028742
